1.23	54.83	292.47		94.93	292.58		338.53	537.37		769.63	655.31		675.34	473.91		760.27	97.85		570.55	140.01		727.51	634.74		270.94	95.61		195.69	61.93	
1.24	54.04	294.36		92.84	292.04		336.64	537.56		769.34	656.28		674.92	475.08		762.76	97.8		569.4	137.88		729.88	637.12		272.72	94.68		196.72	59.84	
1.25	53.25	296.25		90.75	291.5		334.75	537.75		769.05	657.25		674.5	476.25		765.25	97.75		568.25	135.75		732.25	639.5		274.5	93.75		197.75	57.75	
1.26	52.46	298.14		88.66	290.96		332.86	537.94		768.76	658.22		674.08	477.42		767.74	97.7		567.1	133.62		734.62	641.88		276.28	92.82		198.78	55.66	
1.27	51.67	300.03		86.57	290.42		330.97	538.13		768.47	659.19		673.66	478.59		770.23	97.65		565.95	131.49		736.99	644.26		278.06	91.89		199.81	53.57	
1.28	50.88	301.92		84.48	289.88		329.08	538.32		768.18	660.16		673.24	479.76		772.72	97.6		564.8	129.36		739.36	646.64		279.84	90.96		200.84	51.48	
1.29	50.09	303.81		82.39	289.34		327.19	538.51		767.89	661.13		672.82	480.93		775.21	97.55		563.65	127.23		741.73	649.02		281.62	90.03		201.87	49.39	
1.3	49.3	305.7		80.3	288.8		325.3	538.7		767.6	662.1		672.4	482.1		777.7	97.5		562.5	125.1		744.1	651.4		283.4	89.1		202.9	47.3	
1.31	48.51	307.59		78.21	288.26		323.41	538.89		767.31	663.07		671.98	483.27		780.19	97.45		561.35	122.97		746.47	653.78		285.18	88.17		203.93	45.21	
1.32	47.72	309.48		76.12	287.72		321.52	539.08		767.02	664.04		671.56	484.44		782.68	97.4		560.2	120.84		748.84	656.16		286.96	87.24		204.96	43.12	
1.33	46.93	311.37		74.03	287.18		319.63	539.27		766.73	665.01		671.14	485.61		785.17	97.35		559.05	118.71		751.21	658.54		288.74	86.31		205.99	41.03	
